Timestamp_s,Raw_Input,Standard_EMA,OneEuro,BVIC_Output,Stiffness_Alpha,Mode_State
0.0010,-6.3250,-1.5158,-7.2930,0.0255,0.0200,0
0.0494,6.4625,-1.1168,-2.8756,0.1542,0.0200,0
0.0819,19.2500,-0.0985,4.1354,0.5361,0.0200,0
0.1155,0.0000,-0.0936,2.9515,0.5254,0.0200,0
0.1676,0.0000,-0.0889,1.9460,0.5149,0.0200,0
0.2202,-13.8875,-0.7788,-2.2432,0.2268,0.0200,0
0.2563,-2.0625,-0.8430,-2.2080,0.1811,0.0200,0
0.2761,-12.7875,-1.4402,-3.8418,-0.0783,0.0200,0
0.3130,0.0000,-1.3682,-2.9798,-0.0767,0.0200,0
0.3870,0.0000,-1.2998,-1.9850,-0.0752,0.0200,0
0.4399,-13.8875,-1.9292,-5.8620,-0.3515,0.0200,0
0.4853,-13.8875,-2.5271,-8.4055,-0.6222,0.0200,0
0.5161,83.0500,1.7517,30.5781,1.0513,0.0200,0
0.5470,0.0000,1.6642,21.2496,1.0302,0.0200,0
0.6051,0.0000,1.5809,14.6446,1.0096,0.0200,0
0.6581,11.6875,2.0863,13.8626,1.2232,0.0200,0
0.7061,0.0000,1.9820,9.7299,1.1987,0.0200,0
0.7746,0.0000,1.8829,5.7863,1.1748,0.0200,0
0.8274,0.0000,1.7887,3.7559,1.1513,0.0200,0
0.8807,0.0000,1.6993,2.4477,1.1282,0.0200,0
0.9333,-37.2625,-0.2488,-16.4822,0.3604,0.0200,0
0.9673,0.0000,-0.2364,-11.8013,0.3532,0.0200,0
1.0385,0.0000,-0.2245,-7.6107,0.3461,0.0200,0
1.0907,0.0000,-0.2133,-5.6217,0.3392,0.0200,0
1.1433,-24.4750,-1.4264,-12.0461,-0.1571,0.0200,0
1.1880,8.5250,-0.9288,-6.6568,0.0166,0.0200,0
1.2170,0.0000,-0.8824,-5.2480,0.0162,0.0200,0
1.2702,0.0000,-0.8383,-3.4735,0.0159,0.0200,0
1.3233,43.7250,1.3899,19.9472,0.8901,0.0200,0
1.3779,11.6875,1.9048,16.4122,1.1061,0.0200,0
1.4091,-22.4125,0.6889,7.8731,0.6357,0.0200,0
1.4424,0.0000,0.6545,5.8544,0.6230,0.0200,0
1.4956,0.0000,0.6217,3.7492,0.6105,0.0200,0
1.5480,-3.1625,0.4325,1.2318,0.5350,0.0200,0
1.5850,-10.5875,-0.1185,-2.5527,0.3126,0.0200,0
1.6134,-21.3125,-1.1782,-8.4379,-0.1199,0.0200,0
1.6446,0.0000,-1.1193,-6.0595,-0.1175,0.0200,0
1.7203,0.0000,-1.0633,-3.5386,-0.1152,0.0200,0
1.7735,-72.4625,-4.6333,-41.3720,-1.5621,0.0200,0
1.8041,3.1625,-4.2435,-31.0020,-1.4676,0.0200,0
1.8283,41.5250,-1.9551,-6.9076,-0.6078,0.0200,0
1.8579,-6.3250,-2.1735,-6.7019,-0.7221,0.0200,0
1.8826,0.0000,-2.0649,-4.6099,-0.7077,0.0200,0
1.9354,0.0000,-1.9616,-2.4743,-0.6935,0.0200,0
1.9878,-3.1625,-2.0217,-2.7620,-0.7429,0.0200,0
