Timestamp_s,Raw_Input,Standard_EMA,OneEuro,BVIC_Output,Stiffness_Alpha,Mode_State
0.0005,-22.8250,-1.6163,-16.4974,0.4266,0.0200,0
0.0224,-31.3500,-3.1030,-20.4937,-0.2090,0.0200,0
0.0504,0.0000,-2.9479,-15.8511,-0.2048,0.0200,0
0.1225,-25.0250,-4.0517,-19.8875,-0.7012,0.0200,0
0.1860,-6.8750,-4.1929,-15.8766,-0.8247,0.0200,0
0.2157,22.9625,-2.8351,-4.0773,-0.3489,0.0200,0
0.2373,-11.1375,-3.2502,-5.5310,-0.5647,0.0200,0
0.2613,0.0000,-3.0877,-4.2467,-0.5534,0.0200,0
0.3293,0.0000,-2.9333,-2.3833,-0.5423,0.0200,0
0.3826,-7.9750,-3.1854,-4.2018,-0.6910,0.0200,0
0.4431,32.4500,-1.4036,13.6111,-0.0282,0.0200,0
0.4703,0.0000,-1.3335,10.4670,-0.0276,0.0200,0
0.5369,0.0000,-1.2668,6.9512,-0.0271,0.0200,0
0.5892,7.0125,-0.8528,6.9681,0.1137,0.0200,0
0.6350,5.9125,-0.5146,6.7162,0.2297,0.0200,0
0.6606,9.0750,-0.0351,7.0887,0.4066,0.0200,0
0.6915,0.0000,-0.0333,5.8191,0.3985,0.0200,0
0.7602,0.0000,-0.0317,3.7649,0.3905,0.0200,0
0.8129,5.9125,0.2655,4.3492,0.5010,0.0200,0
0.8441,-5.7750,-0.0365,2.0757,0.3754,0.0200,0
0.8687,28.3250,1.3816,7.2380,0.9344,0.0200,0
0.8921,18.7000,2.2475,9.7944,1.2897,0.0200,0
0.9166,0.0000,2.1351,8.0079,1.2639,0.0200,0
0.9823,0.0000,2.0284,5.5578,1.2387,0.0200,0
1.0350,5.9125,2.2226,5.6503,1.3321,0.0200,0
1.0865,5.9125,2.4071,5.7170,1.4237,0.0200,0
1.1120,-10.0375,1.7849,2.5810,1.1945,0.0200,0
1.1430,0.0000,1.6956,1.9813,1.1706,0.0200,0
1.1959,0.0000,1.6108,1.3281,1.1472,0.0200,0
1.2487,4.8125,1.7709,2.3476,1.2205,0.0200,0
1.2864,-21.8625,0.5892,-5.5916,0.7589,0.0200,0
1.3071,-39.8750,-1.4340,-15.8406,-0.0538,0.0200,0
1.3339,-30.3875,-2.8816,-21.2250,-0.6605,0.0200,0
1.3536,0.0000,-2.7376,-16.3889,-0.6473,0.0200,0
1.4064,7.0125,-2.2501,-9.4546,-0.4941,0.0200,0
1.4392,18.7000,-1.2026,-1.8270,-0.1102,0.0200,0
1.4646,27.2250,0.2188,7.1349,0.4365,0.0200,0
1.4835,35.7500,1.9954,15.9090,1.1428,0.0200,0
1.5035,17.6000,2.7756,16.4258,1.4719,0.0200,0
1.5256,19.8000,3.6268,17.4892,1.8385,0.0200,0
1.5695,24.0625,4.6486,20.4889,2.2830,0.0200,0
1.5891,0.5500,4.4437,16.4900,2.2483,0.0200,0
1.6079,-35.6125,2.4409,6.0497,1.4911,0.0200,0
1.6340,-10.0375,1.8170,1.2742,1.2605,0.0200,0
1.6595,0.0000,1.7261,0.9205,1.2353,0.0200,0
1.7120,0.0000,1.6398,0.5454,1.2106,0.0200,0
1.7657,9.0750,2.0116,3.4499,1.3679,0.0200,0
1.8000,7.9750,2.3097,4.4254,1.5000,0.0200,0
1.8484,-2.6125,2.0636,2.2765,1.4178,0.0200,0
1.8748,0.0000,1.9604,1.8308,1.3894,0.0200,0
