Timestamp_s,Raw_Input,Standard_EMA,OneEuro,BVIC_Output,Stiffness_Alpha,Mode_State
0.0006,8.9375,3.4972,-8.6391,1.0831,0.0200,0
0.0290,22.8250,4.4636,0.6431,1.5184,0.0200,0
0.0491,2.4750,4.3642,1.0511,1.5376,0.0200,0
0.0692,0.0000,4.1459,0.8326,1.5068,0.0200,0
0.1388,37.6750,5.8224,21.3695,2.2308,0.0200,0
0.1927,46.2000,7.8413,34.3135,3.1109,0.0200,0
0.2144,39.8750,9.4430,35.9938,3.8467,0.0200,0
0.2439,72.8750,12.6146,52.1456,5.2281,0.0200,0
0.2750,0.0000,11.9838,38.8483,5.1235,0.0200,0
0.3426,0.0000,11.3846,22.7273,5.0210,0.0200,0
0.3955,-62.4250,7.6942,-27.4076,3.6714,0.0200,0
0.4307,0.0000,7.3095,-17.0946,3.5980,0.0200,0
0.4969,0.0000,6.9440,-10.0408,3.5260,0.0200,0
0.5499,0.0000,6.5968,-7.2003,3.4554,0.0200,0
0.6028,223.0250,17.4182,162.6185,20.5832,0.0780,1
0.6240,0.0000,16.5473,139.0019,19.0970,0.0722,0
0.6766,0.0000,15.7199,49.9796,17.8178,0.0670,0
0.7291,29.1500,16.3914,37.0214,18.5236,0.0623,0
0.7867,0.0000,15.5719,12.9724,17.4482,0.0581,0
0.8548,29.1500,16.2508,22.5473,18.0830,0.0543,0
0.9030,37.6750,17.3220,28.8033,19.0788,0.0508,0
0.9221,-19.8000,15.4659,12.8433,17.2226,0.0477,0
0.9415,-10.3125,14.1770,4.4348,15.9843,0.0450,0
0.9642,-69.8500,9.9756,-32.8315,12.3387,0.0425,0
0.9859,-55.0000,6.7268,-43.8214,9.6300,0.0402,0
1.0072,-13.4750,5.7167,-31.2469,8.7473,0.0382,0
1.0343,0.4125,5.4515,-19.4911,8.4441,0.0364,0
1.0563,2.4750,5.3027,-14.1508,8.2367,0.0347,0
1.0726,0.0000,5.0376,-12.1157,7.9626,0.0333,0
1.1257,-1.7875,4.6963,-9.2779,7.6512,0.0319,0
1.1538,-4.9500,4.2140,-8.6040,7.2637,0.0307,0
1.1748,31.3500,5.5708,1.5900,7.9785,0.0297,0
1.1979,81.4000,9.3623,36.8612,10.0861,0.0287,0
1.2251,-55.0000,6.1441,19.5840,8.2744,0.0278,0
1.2882,-32.5875,4.2076,-5.7865,7.1690,0.0271,0
1.3118,-7.0125,3.6466,-6.0939,6.7954,0.0263,0
1.3380,41.9375,5.5611,4.5746,7.6989,0.0257,0
1.3571,24.8875,6.5274,9.1990,8.1311,0.0251,0
1.3769,29.1500,7.6586,14.7217,8.6487,0.0246,0
1.4156,30.2500,8.7881,21.5394,9.1707,0.0242,0
1.4403,34.5125,10.0743,26.0286,9.7725,0.0237,0
1.4638,73.8375,13.2625,46.1652,11.2699,0.0234,0
1.4890,38.7750,14.5381,43.2469,11.9035,0.0230,0
1.5124,-8.1125,13.4056,32.7328,11.4485,0.0227,0
1.5361,1.5125,12.8109,26.8945,11.2253,0.0225,0
1.5602,15.2625,12.9335,24.2824,11.3150,0.0222,0
1.5843,21.7250,13.3731,23.7115,11.5439,0.0220,0
1.5996,8.9375,13.1513,20.9404,11.4871,0.0218,0
1.6163,-43.3125,10.3281,-0.6822,10.3027,0.0216,0
1.6393,-53.9000,7.1167,-26.2579,8.9255,0.0215,0
1.6632,0.0000,6.7609,-15.4050,8.7353,0.0213,0
1.7158,0.0000,6.4228,-7.4170,8.5503,0.0212,0
1.7692,-49.6375,3.6198,-31.8127,7.3250,0.0211,0
1.8105,40.8375,5.4807,-15.7958,8.0271,0.0210,0
1.8266,22.8250,6.3479,-7.7178,8.3358,0.0209,0
1.8470,13.2000,6.6905,-1.5476,8.4368,0.0208,0
1.8682,0.0000,6.3560,-1.1007,8.2622,0.0207,0
1.9347,0.0000,6.0382,-0.5405,8.0918,0.0206,0
1.9873,487.1625,30.0944,417.7289,45.7288,0.0786,1
2.0248,253.9625,41.2878,305.9931,72.9463,0.1307,1
2.0461,243.2375,51.3853,278.7223,103.1961,0.1776,1
2.0675,313.6375,64.4979,295.0052,149.4663,0.2199,1
2.0834,460.6250,84.3043,387.5443,229.7094,0.2579,1
2.0992,0.0000,80.0891,244.4779,175.9353,0.2341,0
2.1655,0.0000,76.0846,40.5636,138.5162,0.2127,0
2.2190,-1137.2625,15.4172,-1068.5904,-182.2377,0.2514,1
2.2480,-1140.5625,-42.3817,-1132.4883,-456.5833,0.2863,1
2.2725,-648.3125,-72.6783,-769.6943,-517.4858,0.3176,1
2.3003,-131.7250,-75.6306,-375.7938,-406.4315,0.2879,0
2.3222,20.6250,-70.8178,-72.6655,-294.9290,0.2611,0
2.3476,139.9750,-60.2782,101.7719,-191.8629,0.2370,0
2.3706,197.4500,-47.3918,178.8675,-85.4687,0.2733,1
2.3882,155.9250,-37.2259,162.0105,-11.6122,0.3060,1
2.4041,104.7750,-30.1259,123.4936,20.6693,0.2774,0
2.4275,262.4875,-15.4952,231.2108,95.5426,0.3096,1
2.4499,360.5250,3.3058,332.4099,185.2825,0.3387,1
2.4668,443.5750,25.3192,415.4012,279.5069,0.3648,1
2.4870,309.3750,39.5220,338.7517,291.1052,0.3883,1
2.5120,339.2125,54.5066,339.0918,310.8045,0.4095,1
2.5409,95.1500,56.5387,209.7585,230.8965,0.3705,0
2.5637,-67.7875,50.3224,69.7494,130.6929,0.3355,0
2.5805,-178.6125,38.8757,-87.6926,18.7444,0.3619,1
2.6069,-143.4125,29.7613,-128.3802,-34.4012,0.3277,0
2.6710,-120.0375,22.2713,-121.5024,-59.8324,0.2970,0
2.6951,83.4625,25.3309,-66.5803,-21.2473,0.2693,0
2.7175,96.2500,28.8768,8.1348,7.4624,0.2443,0
2.7453,61.1875,30.4924,37.8461,19.3845,0.2219,0
2.7664,35.6125,30.7484,36.8170,22.6580,0.2017,0
